county	Stores
01033	1
01043	1
01073	1
01081	1
01089	2
01097	1
02122	1
02240	1
04003	1
04007	1
04009	1
04013	2
04015	1
04017	1
04021	2
04025	1
05005	2
05007	9
05009	2
05013	1
05015	2
05023	4
05025	1
05027	1
05029	1
05031	1
05033	1
05037	1
05045	4
05051	6
05057	1
05069	1
05085	1
05087	3
05093	2
05095	1
05105	1
05111	1
05115	1
05119	9
05121	1
05125	1
05131	3
05139	1
05143	3
06001	9
06007	2
06013	2
06019	1
06023	2
06025	1
06029	1
06037	26
06041	1
06045	1
06047	1
06055	1
06059	9
06065	8
06071	6
06073	1
06075	6
06077	2
06079	1
06081	2
06085	3
06089	1
06101	2
06107	1
08001	1
08003	1
08005	2
08009	1
08011	1
08013	2
08015	1
08025	1
08029	1
08031	3
08035	1
08037	1
08041	3
08049	1
08055	1
08061	1
08069	5
08089	1
08095	1
08101	3
08103	1
08105	1
08107	1
08113	1
08121	1
08123	1
08125	1
09001	9
09003	3
09005	7
09007	5
09009	5
09011	3
09013	4
09015	1
10003	1
12007	1
12009	1
12011	7
12015	1
12017	2
12019	2
12021	1
12023	2
12031	6
12041	1
12053	2
12055	1
12057	4
12059	1
12061	2
12063	1
12069	1
12083	1
12085	3
12086	15
12095	5
12097	2
12099	9
12101	1
12103	1
12105	2
12111	1
12121	1
13019	1
13031	2
13035	2
13057	2
13063	5
13077	2
13089	1
13097	1
13103	1
13121	2
13135	1
13143	1
13151	2
13171	1
13215	1
15001	5
15003	20
15007	5
15009	3
16003	1
16007	3
16011	1
16027	1
16031	2
16035	2
16041	2
16043	1
16047	2
16049	1
16051	1
16053	3
16055	1
16057	1
16079	2
16081	1
16085	1
17001	1
17031	11
17037	1
17043	3
17047	1
17049	1
17051	1
17067	1
17071	1
17073	1
17089	2
17099	1
17105	1
17113	1
17115	2
17117	1
17121	1
17127	2
17147	1
17149	1
17155	1
17157	1
17163	1
17179	1
17187	1
17189	1
17197	2
17201	1
18015	1
18019	1
18021	3
18039	7
18055	1
18057	1
18061	1
18065	2
18071	2
18077	1
18083	1
18085	1
18089	1
18091	1
18099	1
18141	2
18143	1
18163	1
18167	1
18175	1
19009	2
19023	1
19025	1
19031	1
19035	1
19043	2
19065	1
19071	1
19075	1
19103	1
19129	1
19149	1
19155	1
19165	1
19169	1
20009	1
20035	1
20051	1
20053	1
20055	1
20063	2
20069	1
20091	4
20093	1
20103	1
20109	1
20141	1
20155	3
20161	1
20165	1
20173	8
20175	1
20183	1
20189	2
20191	2
20201	1
21001	2
21009	1
21013	2
21017	1
21019	1
21029	1
21031	1
21033	1
21043	1
21061	1
21063	1
21065	1
21083	1
21087	1
21093	1
21095	2
21111	2
21119	1
21133	1
21199	1
21213	1
21221	1
22001	1
22011	1
22023	1
22025	1
22033	2
22039	2
22051	2
22055	1
22057	1
22063	1
22073	1
22091	1
22103	1
22111	1
22113	1
22115	1
23031	2
24005	1
24015	1
24027	1
24039	1
25001	2
25003	5
25005	1
25007	3
25009	2
25011	2
25013	8
25015	2
25017	6
25019	2
25021	3
25023	3
25025	2
25027	13
26001	1
26007	2
26013	1
26017	7
26019	1
26021	3
26023	1
26031	2
26037	1
26041	1
26047	1
26049	2
26053	1
26065	4
26073	2
26087	1
26093	1
26099	4
26107	1
26115	2
26125	9
26145	1
26157	1
26161	5
26163	23
27001	1
27003	3
27005	2
27009	6
27013	1
27019	5
27023	1
27027	4
27037	1
27041	4
27051	1
27053	2
27065	1
27067	3
27071	1
27079	2
27081	1
27085	2
27097	1
27123	3
27141	1
27145	7
27147	1
27153	1
27169	1
27171	1
28005	1
28009	4
28025	2
28031	2
28035	2
28045	1
28065	3
28071	2
28087	1
28089	2
28091	2
28115	2
28117	1
28121	1
28123	1
28145	1
29007	1
29009	3
29019	1
29023	2
29029	1
29037	4
29043	4
29047	4
29051	1
29055	4
29067	1
29077	7
29093	2
29095	5
29097	3
29099	1
29123	2
29125	1
29167	1
29169	1
29183	2
29186	3
29187	2
29189	1
29207	1
29510	2
30023	1
30029	2
30031	4
30041	1
30043	2
30047	1
30053	1
30059	1
30063	2
30067	1
30081	2
30087	1
30089	2
30105	1
31001	1
31003	2
31007	1
31019	2
31021	1
31023	2
31027	1
31035	1
31041	3
31043	1
31047	2
31051	1
31055	8
31063	1
31079	5
31083	2
31099	1
31101	1
31109	9
31111	3
31119	2
31121	1
31125	1
31127	1
31131	1
31135	1
31153	3
31177	1
32003	3
32031	3
32510	1
33013	2
34001	1
34003	1
34005	3
34011	1
34013	1
34017	1
34021	1
34025	1
34027	2
34031	1
35001	12
35003	1
35021	1
35037	1
35043	1
35049	2
36001	1
36003	3
36005	2
36007	2
36019	3
36027	3
36029	8
36031	2
36035	1
36039	1
36043	3
36047	5
36051	1
36059	4
36061	10
36065	2
36067	2
36071	3
36081	1
36083	1
36085	1
36087	1
36091	1
36099	1
36105	1
36111	1
36115	1
36119	1
36121	1
37007	1
37085	1
37119	3
37169	1
37179	1
38003	1
38005	1
38015	4
38017	3
38025	3
38035	2
38053	1
38059	1
38077	1
39003	2
39007	2
39017	1
39019	1
39023	1
39029	4
39033	1
39035	18
39037	1
39041	1
39045	2
39047	1
39049	1
39055	2
39057	2
39079	1
39083	2
39085	2
39089	1
39093	4
39099	2
39103	2
39113	2
39115	1
39131	2
39133	4
39151	5
39153	3
39155	1
39161	1
39173	1
40009	2
40017	1
40019	1
40021	1
40027	5
40033	1
40049	1
40059	1
40071	1
40079	2
40081	1
40083	2
40091	1
40103	1
40109	11
40113	1
40133	1
40147	1
41003	4
41005	2
41011	1
41013	1
41019	3
41029	2
41035	1
41039	1
41043	3
41047	1
41049	3
41051	2
41067	1
41071	2
42003	6
42005	4
42007	3
42013	1
42017	1
42019	2
42021	3
42031	3
42039	6
42045	1
42049	3
42051	1
42053	1
42059	1
42063	1
42073	2
42083	2
42085	3
42091	2
42101	6
42105	2
42111	1
42117	1
42123	2
42129	1
42133	1
44003	1
44005	1
44009	1
45059	1
45063	1
46005	1
46009	1
46039	1
46043	1
46055	1
46067	2
46093	3
46097	1
47011	2
47019	1
47037	3
47045	1
47055	1
47079	1
47113	1
47139	1
47151	1
47157	1
47161	1
48003	1
48021	1
48027	1
48029	6
48031	2
48035	2
48039	1
48053	2
48069	1
48085	6
48095	1
48109	1
48113	23
48121	1
48123	2
48127	1
48135	2
48141	3
48155	1
48157	1
48159	1
48165	1
48171	2
48177	1
48179	1
48181	1
48201	8
48209	1
48213	1
