	MR3	MR12	MR9	MR7	MR5	MR2	MR1	MR6	MR4	MR10	MR8	MR14	MR15	MR11	MR13
retail	-0.02436577436372	0.0106105239421461	-0.0129355732826686	-0.0199978551439943	0.0201846645504226	-0.0029787482389765	-0.0267154236112487	-0.0111108585813813	-0.0012725183400404	-0.00928422523272603	0.973414852877652	0.0119237156201863	0.00551195477821691	0.0110815329181236	0.0133638140699371
medical	0.00446119102954026	-0.00881671165982704	-0.0136692363235204	0.0460643239696384	-0.0153386052539934	0.000374057942471535	0.0374170293066278	0.0171319846612763	0.0040652207739371	0.00893739507846783	-0.983535322434029	-0.0167855338219158	-0.00293380714303573	-0.00210192524893993	-0.0110991968945512
population	0.299810917126586	-0.06345102885997	-0.209173267110659	0.254304646875203	0.224027228077307	0.0501471867416144	0.0859030834548868	-0.331383467799642	-0.0348464655384956	-0.0427458594784549	-0.0437973668105652	0.252463189438368	0.033131314443523	0.145984808525217	-0.00943445371603422
Population.that.is.not.proficient.in.English	0.620523565205455	-0.114077403581175	-0.395429077025289	0.149039548510333	0.274188795344559	0.131928277219191	0.11201700422853	-0.203105365032408	-0.0485074564637346	-0.0279061061672876	0.0179805806270628	0.000284455586813162	0.0568041093377094	0.01642017480858	0.0445384787753624
Population.living.in.a.rural.area	-0.0225730478505241	-0.213934713048018	0.184505773202652	-0.0556777736178613	0.153227391487672	-0.321372092590168	-0.00359995664999977	0.522376183697512	0.0135062298997719	0.0907663661452493	0.0118013992880326	-0.12832508814827	-0.229603243966713	0.081216763384358	-0.111021754899656
Uninsured	0.911185123498196	0.0823944887966128	0.00701144173864463	0.0231178463520744	-0.0153439886333148	-0.0597840792665151	0.00225089629663184	-0.0205678956025421	0.0140652413079284	-0.00232853190400208	-0.0095687882504986	-0.0149644502007523	-0.022381733716998	-0.0594533657988282	-0.0147841576431414
Uninsured.adults	0.898157891078069	0.0964256228547555	-0.0330030469778054	0.055014907926786	-0.0401367859425215	-0.0531314687418072	0.0421761015912897	-0.0330650570158133	0.0183442384807097	0.00607295224611372	-0.0119633091286389	-0.0302250518068493	-0.0153826383594303	-0.0612534795729698	-0.0158919509158192
Uninsured.children	0.884324782182698	-0.0268100303301085	0.0971789898474184	-0.111376332494424	-0.0358393087893087	-0.0965817125932275	-0.239215404909897	0.00875762813385171	-0.0191245652493881	-0.0324067671216651	0.0370062645217738	-0.0447963285206283	-0.0469427794777813	-0.0580392436481161	-0.000519104217474583
Unemployment	-0.129358638680038	0.230443259912938	0.026787768107621	-0.0201785890008393	0.102709449596455	-0.260526033119371	0.710184911378168	-0.0982942431447004	-0.0117170157950139	-0.0429826922653565	-0.0627342974948395	0.0855293373398843	-0.0913585547006595	0.0627036699542293	0.00600274032642798
Income.inequality	-0.0755647981354321	0.296858193321836	-0.0828518212789866	0.154831387173508	0.599330855615955	0.285467695824582	0.186511239100537	-0.0173459352677556	0.0264065430788587	-0.045615880688366	-0.00752505501277866	-0.0885987373248167	0.0687896628200899	-0.0233572732178075	0.00430249094011213
Median.household.income	-0.243066081675914	-0.31599949871171	-0.106019568237049	-0.0332955266557237	0.136989030205762	-0.033816516801908	-0.338549652278713	-0.356119078919096	-0.0495260486548657	-0.0506015289718711	0.00615432435864563	0.089354981623581	0.145593672367299	0.039056172623376	0.0823158199110636
storesPerCapita	0.0763623557470356	0.0021184153368834	0.0727415423889697	-0.00219103546597983	0.218816979875592	-0.0953769287858156	-0.297615964479639	0.0499720592699952	0.5485067837629	0.148091359378604	-0.0805093916427432	-0.0392066660446779	-0.179904783008405	0.260596615068215	-0.0962378926230459
