	median	Std.Error	lowlim	upplim
(Intercept)	14467.9805094545	394.398749318617	13694.9589607901	15241.002058119
timeOrder	315.244451633969	73.4088158484506	171.363172571006	459.125730696932
I(timeOrder^2)	-28.0636087529014	8.72184118588773	-45.1584174772414	-10.9688000285614
I(timeOrder^3)	1.46611679139943	0.301741696822982	0.874703065626382	2.05753051717247
Uninsured	-881.524310828655	407.147211991811	-1679.5328463326	-83.5157753247047
Natal	-122.594098471775	410.084744083787	-926.360196875998	681.171999932447
PrematureDeath	332.255734147605	420.789911585457	-492.492492559891	1157.0039608551
HealthCost	-520.635866356703	410.694027312143	-1325.5961598885	284.324427175098
Commute	-890.167941056587	367.596901720409	-1610.65786842859	-169.678013684586
PrCare	-58.9355599486167	403.879480289856	-850.539341316735	732.668221419502
Unemployment	-144.80866396207	387.332803008059	-903.980957857865	614.363629933726
Rural	21.3707914301215	424.52220275648	-810.69272597258	853.434308832822
TertCare	589.118887317199	378.869693125015	-153.465711207831	1331.70348584223
BizAct	95.9981572044244	398.370350735846	-684.807730237834	876.804044646683
MedicalRxStore	1216.79860125776	358.652629062864	513.839448294549	1919.75775422098
Pollution	-851.388108639763	431.314496622039	-1696.76452201896	-6.01169526056617
ProfServices	-708.789352793898	407.065938924638	-1506.63859308619	89.0598874983922
Alcholism	97.929008118817	363.523191674076	-614.576447562372	810.434463800006
OtherBiz	1014.1390342687	473.1458710961	86.7731269203475	1941.50494161706
timeOrder:HealthCost	36.0610815649512	13.9786504883734	8.66292660773938	63.459236522163
timeOrder:ProfServices	36.9037766167371	13.6139000298092	10.2205325583112	63.5870206751631
timeOrder:Alcholism	31.3293947209207	13.459129273798	4.9495013442765	57.7092880975648
