	median	Std.Error	lowlim	upplim
(Intercept)	152.763976346106	1.13066601473384	150.547870957228	154.980081734985
timeOrder	0.814047699807496	0.195282580476549	0.43129384207346	1.19680155754153
I(timeOrder^2)	-0.0627409324168073	0.0232158345434977	-0.108243968122063	-0.0172378967115519
I(timeOrder^3)	0.00337382423138187	0.000803249847932636	0.00179945452943391	0.00494819393332984
Uninsured	-2.61451331812697	1.18036723645567	-4.92803310158008	-0.30099353467385
Natal	-0.241399908924147	1.18871877737583	-2.57128871258078	2.08848889473249
PrematureDeath	1.20660926913453	1.21976111602109	-1.18412251826681	3.59734105653587
HealthCost	-2.05088010670632	1.19003570650641	-4.38335009145888	0.281589878046235
Commute	-2.99858958661693	1.06577506406885	-5.08750871219187	-0.909670461041995
PrCare	0.0181228900726455	1.17086413188156	-2.27677080841521	2.3130165885605
Unemployment	-0.0240432576450521	1.12293078951155	-2.2249876050877	2.17690108979759
Rural	0.214188202812204	1.23076347316399	-2.19810820458923	2.62648461021363
TertCare	1.8542055001251	1.098577366918	-0.299006139034178	4.00741713928439
BizAct	0.590148130812277	1.15517513642462	-1.67399513657998	2.85429139820453
MedicalRxStore	3.89405381907066	1.03907662625842	1.85746363160417	5.93064400653716
Pollution	-2.41796345366591	1.25042992805423	-4.86880611265219	0.0328792053203775
ProfServices	-2.31098393182733	1.17962885427374	-4.62305648620385	0.00108862254919728
Alcholism	0.413987967786912	1.05325133685609	-1.65038465245103	2.47836058802485
OtherBiz	2.70224448903383	1.37170430952012	0.0137040423743984	5.39078493569326
timeOrder:HealthCost	0.0971037142069985	0.0359249580033529	0.0266907965204268	0.16751663189357
timeOrder:ProfServices	0.0933002583901888	0.0349830414609979	0.024733497126633	0.161867019653745
timeOrder:Alcholism	0.089262897356483	0.0345878294458782	0.0214707516425618	0.157055043070404
